⚠️ Ceci est un exemple de fichier CSV généré par une vue SQL. Ce fichier ne contient que des informations fictives. Ce fichier ne contient aucune donnée sensible quelle qu'elle soit.


PATHOLOGY,MEDICATION_ID,TOTAL_QUANTITY
Pathology77,1247,5
Pathology77,225,5
Pathology77,558,5
Pathology77,1002,5
Pathology80,1446,5
Pathology30,1165,3
Pathology30,1468,3
Pathology30,1180,3
Pathology30,1077,3
Pathology30,1176,3
Pathology66,2,12
Pathology64,1335,12
Pathology79,1358,5
Pathology8,348,6
Pathology4,567,3
Pathology4,1811,3
Pathology4,854,3
Pathology4,2,3
Pathology4,1260,3
Pathology96,1517,3
Pathology96,1521,3
Pathology96,1337,3
Pathology96,1698,3
Pathology96,1780,3
Pathology96,1531,3
Pathology96,2000,3
Pathology60,282,3
Pathology60,1376,3
Pathology69,1335,13
Pathology3,1065,4
Pathology45,745,6
Pathology47,993,3
Pathology47,1441,3
Pathology47,368,3
Pathology47,811,3
Pathology6,835,3
Pathology6,566,3
Pathology6,443,3
Pathology6,862,3
Pathology68,2,13
Pathology68,1335,13
Pathology26,242,3
Pathology26,588,3
Pathology26,1431,3
Pathology26,236,3
Pathology26,1010,3
Pathology26,1104,3
Pathology17,645,3
Pathology17,1335,3
Pathology17,1482,3
Pathology17,164,3
Pathology17,656,3
Pathology17,393,3
Pathology17,1068,3
Pathology17,714,3
Pathology25,858,5
Pathology53,1105,3
Pathology53,571,3
Pathology53,56,3
Pathology53,892,3
Pathology53,1777,3
Pathology39,1939,3
Pathology39,1447,3
Pathology39,561,3
Pathology81,15,3
Pathology81,1702,3
Pathology81,1891,3
Pathology75,558,9
Pathology48,215,3
Pathology48,1064,3
Pathology48,185,3
Pathology48,1097,3
Pathology48,1779,3
Pathology48,1716,3
Pathology48,393,3
Pathology48,1595,3
Pathology48,1013,3
Pathology48,847,3
Pathology90,1491,6
Pathology34,220,3
Pathology34,1915,3
Pathology34,870,3
Pathology34,30,3
Pathology34,655,3
Pathology34,1486,3
Pathology34,1766,3
Pathology34,659,3
Pathology74,114,6
Pathology72,114,3
Pathology32,549,3
Pathology32,1247,3
Pathology32,785,3
Pathology32,1476,3
Pathology32,1925,3
Pathology32,350,3
Pathology20,787,3
Pathology20,1984,3
Pathology20,953,3
Pathology20,527,3
Pathology20,718,3
Pathology20,881,3
Pathology20,1360,3
Pathology59,1302,3
Pathology59,1709,3
Pathology59,1747,3
Pathology59,293,3
Pathology59,161,3
Pathology59,378,3
Pathology59,1629,3
Pathology59,1551,3
Pathology59,93,3
Pathology33,1474,3
Pathology33,296,3
Pathology33,1218,3
Pathology33,1715,3
Pathology83,1122,3
Pathology83,137,3
Pathology83,37,3
Pathology83,1047,3
Pathology83,1130,3
Pathology83,836,3
Pathology54,721,3
Pathology54,835,3
Pathology54,1152,3
Pathology54,893,3
Pathology54,869,3
Pathology54,359,3
Pathology97,281,3
Pathology97,1284,3
Pathology97,1164,3
Pathology97,1866,3
Pathology19,1996,3
Pathology19,666,3
Pathology19,1722,3
Pathology19,1744,3
Pathology19,532,3
Pathology19,922,3
Pathology19,1358,3
Pathology19,610,3
Pathology19,1295,3
Pathology19,1668,3
Pathology21,1068,3
Pathology21,1465,3
Pathology2,872,4
Pathology56,270,3
Pathology56,81,3
Pathology56,595,3
Pathology56,1520,3
Pathology56,212,3
Pathology56,633,3
Pathology12,928,3
Pathology12,1954,3
Pathology12,1068,3
Pathology99,1889,3
Pathology99,1816,3
Pathology99,1357,3
Pathology99,336,3
Pathology89,226,3
Pathology89,1223,3
Pathology89,670,3
Pathology89,1220,3
Pathology89,669,3
Pathology89,614,3
Pathology84,581,5
Pathology67,1113,22
Pathology15,1511,3
Pathology15,677,3
Pathology15,1969,3
Pathology15,594,3
Pathology43,574,3
Pathology43,404,3
Pathology43,309,3
Pathology43,511,3
Pathology43,1583,3
Pathology43,1308,3
Pathology43,492,3
Pathology43,1630,3
Pathology43,344,3
Pathology27,1210,3
Pathology27,1200,3
Pathology27,535,3
Pathology27,199,3
Pathology27,1546,3
Pathology27,35,3
Pathology27,932,3
Pathology95,1166,3
Pathology95,1380,3
Pathology95,1247,3
Pathology95,1438,3
Pathology95,1501,3
Pathology35,1338,3
Pathology35,1382,3
Pathology35,684,3
Pathology35,1396,3
Pathology35,1374,3
Pathology35,576,3
Pathology35,1425,3
Pathology35,1608,3
Pathology7,460,3
Pathology7,224,3
Pathology7,655,3
Pathology7,674,3
Pathology7,1188,3
Pathology7,220,3
Pathology82,1114,6
Pathology16,218,3
Pathology16,1022,3
Pathology16,73,3
Pathology16,945,3
Pathology16,802,3
Pathology16,222,3
Pathology16,1928,3
Pathology16,146,3
Pathology16,1829,3
Pathology16,1226,3
Pathology57,1187,3
Pathology57,1815,3
Pathology57,487,3
Pathology57,669,3
Pathology57,544,3
Pathology57,947,3
Pathology57,1577,3
Pathology57,1853,3
Pathology57,1026,3
Pathology57,1464,3
Pathology57,1533,3
Pathology57,1455,3
Pathology9,287,3
Pathology9,461,3
Pathology9,343,3
Pathology9,443,3
Pathology9,191,3
Pathology9,1004,3
Pathology9,512,3
Pathology9,1297,3
Pathology9,444,3
Pathology9,1906,3
Pathology9,1967,3
Pathology93,1483,3
Pathology93,1970,3
Pathology58,1192,5
Pathology52,1331,3
Pathology52,1111,3
Pathology52,845,3
Pathology52,542,3
Pathology98,1736,3
Pathology98,1925,3
Pathology98,1902,3
Pathology98,1819,3
Pathology98,1564,3
Pathology98,1818,3
Pathology98,1182,3
Pathology98,1323,3
Pathology98,1221,3
Pathology36,989,3
Pathology36,1028,3
Pathology36,708,3
Pathology36,283,3
Pathology36,618,3
Pathology36,441,3
Pathology36,1361,3
Pathology36,1316,3
Pathology55,419,3
Pathology55,1162,3
Pathology55,1797,3
Pathology55,1081,3
Pathology55,85,3
Pathology55,1618,3
Pathology55,185,3
Pathology55,625,3
Pathology24,498,4
Pathology61,2,20
Pathology22,1980,3
Pathology22,1438,3
Pathology22,303,3
Pathology85,1172,4
Pathology14,784,3
Pathology14,314,3
Pathology14,1564,3
Pathology14,417,3
Pathology11,285,3
Pathology11,1918,3
Pathology11,23,3
Pathology11,593,3
Pathology11,192,3
Pathology11,1275,3
Pathology11,860,3
Pathology11,1378,3
Pathology11,176,3
Pathology62,2,15
Pathology28,447,3
Pathology28,256,3
Pathology28,1656,3
Pathology28,1288,3
Pathology28,152,3
Pathology28,500,3
Pathology28,16,3
Pathology28,947,3
