PATHOLOGY,DOCTOR_ID,NB_DIAGNOSTICS
Pathology55,6,40
Pathology90,6,20
Pathology31,10,20
Pathology8,10,20
Pathology93,10,10
Pathology35,11,20
Pathology35,12,10
Pathology59,15,20
Pathology75,57,20
Pathology75,18,20
Pathology4,21,20
Pathology48,11,30
Pathology83,43,20
Pathology24,43,10
Pathology13,42,20
Pathology31,59,40
Pathology5,28,10
Pathology74,67,20
Pathology29,78,30
Pathology3,15,40
Pathology80,57,10
Pathology44,72,20
Pathology17,59,30
Pathology83,59,10
Pathology47,20,20
Pathology15,22,30
Pathology79,38,10
Pathology29,47,30
Pathology1,95,30
Pathology58,27,30
Pathology23,30,30
Pathology32,72,30
Pathology42,58,10
Pathology2,40,20
Pathology74,68,20
Pathology43,95,30
Pathology26,42,40
Pathology5,21,30
Pathology54,62,20
Pathology40,16,40
Pathology66,16,20
Pathology21,52,20
Pathology94,75,20
Pathology28,75,30
Pathology74,78,30
Pathology66,92,30
Pathology9,19,40
Pathology23,50,20
Pathology35,22,20
Pathology69,68,10
Pathology92,95,10
Pathology63,62,10
Pathology72,97,10
Pathology62,22,60
Pathology3,68,10
Pathology87,72,30
Pathology78,90,20
Pathology14,93,20
Pathology8,93,30
Pathology45,93,30
Pathology34,93,20
Pathology11,8,30
Pathology99,41,10
Pathology11,49,30
Pathology9,53,10
Pathology41,55,30
Pathology12,85,50
Pathology19,85,10
Pathology52,86,30
Pathology38,86,10
Pathology28,86,40
Pathology65,69,40
Pathology24,29,20
Pathology47,32,30
Pathology18,35,50
Pathology35,36,10
Pathology94,64,30
Pathology14,83,20
Pathology91,56,20
Pathology29,56,40
Pathology42,96,10
Pathology69,51,10
Pathology9,84,40
Pathology41,94,20
Pathology14,28,20
Pathology34,92,20
Pathology7,97,10
Pathology17,13,10
Pathology77,57,20
Pathology37,58,10
Pathology43,59,20
Pathology73,59,30
Pathology11,38,20
Pathology22,38,10
Pathology90,83,10
Pathology22,58,30
Pathology30,68,10
Pathology45,95,20
Pathology44,45,20
Pathology82,93,20
Pathology90,8,20
Pathology74,8,20
Pathology73,8,10
Pathology16,41,30
Pathology44,78,10
Pathology47,92,20
Pathology46,74,20
Pathology40,74,30
Pathology98,59,30
Pathology1,20,50
Pathology33,22,20
Pathology32,40,20
Pathology28,93,20
Pathology65,90,20
Pathology69,41,50
Pathology24,41,20
Pathology36,53,10
Pathology1,55,20
Pathology32,85,20
Pathology82,85,10
Pathology78,86,10
Pathology80,86,20
Pathology31,86,10
Pathology32,69,20
Pathology74,69,20
Pathology91,69,10
Pathology1,69,10
Pathology77,6,10
Pathology95,29,10
Pathology80,36,20
Pathology32,100,30
Pathology68,83,10
Pathology34,96,30
Pathology8,54,10
Pathology11,54,30
Pathology62,54,10
Pathology94,80,10
Pathology42,94,10
Pathology7,26,30
Pathology96,67,20
Pathology82,67,30
Pathology38,75,20
Pathology99,92,30
Pathology87,97,30
Pathology90,13,30
Pathology92,15,30
Pathology43,74,10
Pathology52,58,10
Pathology62,19,30
Pathology67,19,20
Pathology80,39,30
Pathology61,39,40
Pathology2,38,30
Pathology14,51,30
Pathology8,50,30
Pathology77,66,30
Pathology56,66,30
Pathology40,27,20
Pathology2,93,40
Pathology7,8,20
Pathology37,8,30
Pathology51,44,50
Pathology29,44,10
Pathology38,53,10
Pathology57,60,20
Pathology31,55,20
Pathology24,90,20
Pathology86,27,20
Pathology13,54,30
Pathology5,52,10
Pathology82,40,10
Pathology23,47,10
Pathology52,41,50
Pathology42,44,10
Pathology6,69,20
Pathology29,69,30
Pathology41,69,10
Pathology20,6,20
Pathology33,10,30
Pathology84,10,10
Pathology68,23,20
Pathology78,23,30
Pathology76,23,30
Pathology44,19,10
Pathology65,8,30
Pathology69,55,30
Pathology62,56,40
Pathology6,95,20
Pathology58,67,10
Pathology42,8,40
Pathology23,69,20
Pathology84,48,30
Pathology80,84,40
Pathology76,62,10
Pathology73,22,20
Pathology5,93,20
Pathology40,41,20
Pathology31,69,10
Pathology35,6,20
Pathology1,10,40
Pathology26,23,30
Pathology5,48,10
Pathology13,48,10
Pathology27,48,20
Pathology29,48,20
Pathology61,63,20
Pathology76,63,20
Pathology45,63,10
Pathology3,63,30
Pathology59,63,10
Pathology12,63,10
Pathology51,63,10
Pathology28,63,30
Pathology83,70,40
Pathology47,70,40
Pathology28,70,10
Pathology27,71,30
Pathology69,71,20
Pathology73,14,20
Pathology63,29,40
Pathology2,29,10
Pathology69,29,20
Pathology83,29,10
Pathology88,29,10
Pathology9,29,10
Pathology95,32,20
Pathology62,32,20
Pathology83,32,20
Pathology66,34,10
Pathology84,34,10
Pathology7,34,20
Pathology61,34,20
Pathology79,34,30
Pathology23,34,20
Pathology57,35,30
Pathology52,35,20
Pathology27,35,30
Pathology82,35,10
Pathology7,36,10
Pathology45,36,50
Pathology63,8,30
Pathology97,86,20
Pathology5,64,10
Pathology26,79,30
Pathology98,22,20
Pathology86,40,20
Pathology57,80,10
Pathology16,72,30
Pathology94,59,10
Pathology53,44,20
Pathology61,53,40
Pathology46,59,10
Pathology59,39,10
Pathology41,45,30
Pathology27,41,10
Pathology26,60,40
Pathology10,55,10
Pathology32,88,30
Pathology48,6,20
Pathology10,70,10
Pathology63,14,40
Pathology75,96,20
Pathology70,97,30
Pathology94,66,10
Pathology46,83,20
Pathology74,46,30
Pathology8,59,10
Pathology99,40,50
Pathology13,95,20
Pathology85,27,20
Pathology17,30,10
Pathology9,49,10
Pathology89,53,20
Pathology97,19,20
Pathology26,38,20
Pathology17,40,20
Pathology83,55,30
Pathology81,53,20
Pathology73,55,10
Pathology77,85,20
Pathology93,85,10
Pathology70,86,30
Pathology7,69,20
Pathology40,6,10
Pathology58,10,10
Pathology56,10,30
Pathology28,48,30
Pathology24,48,40
Pathology2,63,20
Pathology30,63,10
Pathology23,63,20
Pathology88,70,10
Pathology19,14,40
Pathology83,14,20
Pathology2,14,20
Pathology56,14,20
Pathology74,29,20
Pathology85,32,40
Pathology60,32,20
Pathology35,34,30
Pathology19,34,30
Pathology44,55,20
Pathology69,63,20
Pathology16,32,20
Pathology52,36,60
Pathology83,36,40
Pathology61,64,10
Pathology59,64,30
Pathology92,64,30
Pathology95,64,30
Pathology27,76,20
Pathology55,76,20
Pathology52,76,20
Pathology32,82,20
Pathology57,82,10
Pathology23,100,10
Pathology21,100,30
Pathology77,100,10
Pathology51,100,10
Pathology74,100,10
Pathology70,65,30
Pathology78,65,20
Pathology84,65,10
Pathology74,65,20
Pathology41,65,20
Pathology39,77,20
Pathology46,77,30
Pathology9,77,40
Pathology83,77,10
Pathology23,77,10
Pathology7,77,30
Pathology74,77,20
Pathology8,77,10
Pathology6,77,20
Pathology56,77,10
Pathology79,77,30
Pathology94,77,20
Pathology37,77,20
Pathology25,79,20
Pathology64,79,10
Pathology79,79,40
Pathology29,83,20
Pathology16,83,20
Pathology85,83,40
Pathology76,83,10
Pathology55,83,20
Pathology45,56,10
Pathology63,56,10
Pathology43,56,10
Pathology33,56,10
Pathology45,73,10
Pathology44,73,10
Pathology68,73,40
Pathology82,73,10
Pathology79,73,10
Pathology10,95,10
Pathology12,93,10
Pathology95,63,10
Pathology42,36,30
Pathology65,100,10
Pathology60,65,30
Pathology67,77,20
Pathology53,56,10
Pathology23,81,20
Pathology26,81,10
Pathology50,89,30
Pathology54,89,10
Pathology96,89,30
Pathology38,89,20
Pathology70,89,20
Pathology70,98,20
Pathology99,87,40
Pathology53,87,20
Pathology30,87,30
Pathology34,87,20
Pathology26,87,10
Pathology7,87,20
Pathology28,87,20
Pathology17,96,10
Pathology57,96,30
Pathology69,96,10
Pathology98,96,30
Pathology96,91,10
Pathology40,91,20
Pathology68,91,20
Pathology48,91,10
Pathology53,91,20
Pathology23,51,10
Pathology50,51,30
Pathology40,51,20
Pathology94,51,10
Pathology67,51,20
Pathology44,54,30
Pathology58,54,10
Pathology88,54,20
Pathology92,54,20
Pathology40,54,30
Pathology23,54,10
Pathology67,84,20
Pathology3,84,10
Pathology35,84,20
Pathology59,84,20
Pathology13,80,40
Pathology16,80,30
Pathology27,80,20
Pathology34,80,20
Pathology73,80,20
Pathology53,80,40
Pathology7,94,40
Pathology27,94,10
Pathology16,94,20
Pathology36,94,10
Pathology49,94,10
Pathology38,94,20
Pathology82,94,30
Pathology70,99,20
Pathology14,99,20
Pathology85,99,20
Pathology48,99,30
Pathology65,19,30
Pathology9,90,10
Pathology22,95,10
Pathology8,45,30
Pathology55,45,30
Pathology91,60,10
Pathology11,86,20
Pathology80,69,30
Pathology85,10,20
Pathology62,70,10
Pathology39,29,20
Pathology4,29,20
Pathology40,35,20
Pathology58,35,20
Pathology67,35,20
Pathology42,76,20
Pathology16,82,20
Pathology36,100,30
Pathology9,100,10
Pathology78,100,10
Pathology41,100,10
Pathology87,65,30
Pathology48,77,10
Pathology36,79,20
Pathology6,79,10
Pathology40,56,40
Pathology57,81,30
Pathology3,98,30
Pathology18,96,20
Pathology5,96,10
Pathology90,96,40
Pathology51,96,10
Pathology25,80,40
Pathology85,80,30
Pathology60,80,10
Pathology44,94,40
Pathology51,94,10
Pathology55,99,20
Pathology8,68,10
Pathology13,77,10
Pathology73,51,10
Pathology42,51,10
Pathology69,73,10
Pathology51,2,20
Pathology26,3,20
Pathology35,3,10
Pathology22,3,20
Pathology44,3,40
Pathology94,4,10
Pathology86,4,30
Pathology42,4,10
Pathology22,4,20
Pathology39,4,10
Pathology46,4,20
Pathology41,9,10
Pathology85,9,20
Pathology73,11,20
Pathology95,17,10
Pathology79,17,20
Pathology56,21,40
Pathology28,24,10
Pathology6,25,10
Pathology87,3,10
Pathology23,3,30
Pathology59,4,10
Pathology51,4,10
Pathology64,5,40
Pathology73,5,20
Pathology91,12,20
Pathology5,17,30
Pathology16,25,20
Pathology83,25,40
Pathology70,33,20
Pathology87,33,10
Pathology99,12,20
Pathology25,24,20
Pathology63,3,10
Pathology50,3,20
Pathology31,4,30
Pathology21,4,30
Pathology20,4,20
Pathology69,5,10
Pathology89,7,10
Pathology69,9,20
Pathology71,11,20
Pathology84,16,40
Pathology31,18,20
Pathology47,21,40
Pathology8,24,20
Pathology94,24,30
Pathology44,2,30
Pathology54,4,10
Pathology10,9,10
Pathology39,9,30
Pathology99,11,20
Pathology56,16,20
Pathology10,16,10
Pathology41,16,20
Pathology33,17,10
Pathology87,18,10
Pathology3,18,40
Pathology91,21,10
Pathology78,21,10
Pathology1,26,10
Pathology12,28,30
Pathology2,31,10
Pathology45,31,10
Pathology14,31,10
Pathology97,31,20
Pathology25,33,10
Pathology18,62,40
Pathology41,78,20
Pathology83,37,30
Pathology64,66,40
Pathology36,68,10
Pathology73,9,30
Pathology91,18,30
Pathology6,24,50
Pathology27,12,30
Pathology23,28,10
Pathology11,11,10
Pathology25,12,10
Pathology81,16,10
Pathology6,16,50
Pathology7,17,20
Pathology60,17,10
Pathology93,18,20
Pathology11,18,30
Pathology17,21,40
Pathology84,21,30
Pathology80,26,20
Pathology39,28,30
Pathology99,43,20
Pathology61,52,40
Pathology79,62,20
Pathology24,78,10
Pathology72,78,20
Pathology79,13,30
Pathology69,13,20
Pathology97,57,20
Pathology98,74,20
Pathology93,16,10
Pathology24,17,20
Pathology6,18,20
Pathology88,18,10
Pathology9,21,10
Pathology95,21,10
Pathology87,21,20
Pathology97,25,30
Pathology41,25,20
Pathology52,17,20
Pathology39,25,10
Pathology40,26,20
Pathology86,26,20
Pathology42,28,20
Pathology54,31,10
Pathology22,31,20
Pathology99,31,10
Pathology82,31,10
Pathology74,33,10
Pathology88,33,10
Pathology9,33,20
Pathology19,42,10
Pathology66,42,20
Pathology79,42,20
Pathology12,42,10
Pathology46,43,30
Pathology79,43,30
Pathology96,43,10
Pathology20,43,30
Pathology31,52,20
Pathology88,52,40
Pathology10,52,20
Pathology2,52,20
Pathology49,61,20
Pathology71,61,20
Pathology66,62,10
Pathology17,62,30
Pathology40,62,10
Pathology39,62,20
Pathology67,67,10
Pathology49,67,10
Pathology49,75,20
Pathology25,75,10
Pathology55,75,20
Pathology41,75,20
Pathology33,75,30
Pathology31,78,20
Pathology67,92,30
Pathology88,92,20
Pathology15,92,10
Pathology43,97,10
Pathology58,97,10
Pathology39,13,20
Pathology72,13,30
Pathology3,13,10
Pathology27,13,30
Pathology76,13,10
Pathology67,64,10
Pathology97,81,10
Pathology13,84,20
Pathology52,84,20
Pathology6,64,20
Pathology10,87,40
Pathology36,84,10
Pathology32,4,10
Pathology70,24,40
Pathology29,43,20
Pathology41,7,20
Pathology89,16,10
Pathology77,11,10
Pathology36,78,40
Pathology64,12,20
Pathology60,3,10
Pathology80,12,20
Pathology56,33,30
Pathology96,33,20
Pathology45,43,20
Pathology85,43,10
Pathology30,52,70
Pathology71,62,20
Pathology42,78,30
Pathology48,97,20
Pathology28,3,20
Pathology7,78,10
Pathology36,97,20
Pathology46,15,10
Pathology87,15,10
Pathology73,15,40
Pathology31,15,30
Pathology90,37,10
Pathology84,37,10
Pathology32,37,20
Pathology22,37,10
Pathology82,57,20
Pathology73,57,20
Pathology72,72,10
Pathology31,72,10
Pathology81,72,30
Pathology88,74,20
Pathology7,74,10
Pathology53,58,40
Pathology94,58,20
Pathology40,59,20
Pathology72,59,10
Pathology49,59,10
Pathology50,59,40
Pathology60,59,20
Pathology2,19,20
Pathology3,19,30
Pathology21,20,30
Pathology36,20,20
Pathology87,20,10
Pathology11,20,20
Pathology85,20,10
Pathology7,39,10
Pathology70,39,10
Pathology13,50,20
Pathology88,50,10
Pathology89,90,20
Pathology85,90,30
Pathology4,90,10
Pathology66,90,10
Pathology60,22,20
Pathology26,22,20
Pathology39,22,20
Pathology74,22,20
Pathology84,47,20
Pathology15,42,20
Pathology86,43,20
Pathology11,78,20
Pathology56,92,30
Pathology63,92,20
Pathology74,13,10
Pathology16,37,10
Pathology57,37,10
Pathology76,57,20
Pathology47,57,10
Pathology94,72,10
Pathology90,72,10
Pathology61,74,20
Pathology42,59,10
Pathology62,59,10
Pathology56,19,10
Pathology63,19,20
Pathology85,19,10
Pathology47,19,20
Pathology85,39,20
Pathology97,38,40
Pathology20,38,30
Pathology40,40,20
Pathology1,50,30
Pathology95,47,10
Pathology45,68,40
Pathology60,68,40
Pathology29,68,30
Pathology69,95,10
Pathology63,27,10
Pathology32,27,10
Pathology43,30,10
Pathology85,30,30
Pathology82,30,10
Pathology48,45,20
Pathology18,45,20
Pathology35,93,20
Pathology48,93,20
Pathology86,8,10
Pathology43,41,20
Pathology90,41,70
Pathology80,41,10
Pathology76,49,10
Pathology55,60,10
Pathology19,55,20
Pathology72,55,30
Pathology37,85,10
Pathology17,86,40
Pathology22,86,20
Pathology88,88,30
Pathology9,69,40
Pathology26,6,30
Pathology58,6,20
Pathology25,23,20
Pathology62,48,20
Pathology49,70,10
Pathology99,71,20
Pathology59,71,20
Pathology57,29,20
Pathology25,29,30
Pathology19,29,10
Pathology4,32,10
Pathology33,76,20
Pathology80,76,10
Pathology29,82,10
Pathology13,82,20
Pathology70,100,10
Pathology26,65,10
Pathology1,65,30
Pathology41,77,20
Pathology6,83,20
Pathology33,83,20
Pathology35,46,20
Pathology5,73,30
Pathology25,81,20
Pathology98,89,50
Pathology1,98,30
Pathology32,87,10
Pathology31,96,10
Pathology49,51,20
Pathology21,54,10
Pathology25,84,20
Pathology22,80,10
Pathology5,18,20
Pathology1,31,10
Pathology73,52,30
Pathology28,52,10
Pathology77,67,10
Pathology33,67,20
Pathology53,67,30
Pathology77,78,10
Pathology42,97,20
Pathology18,13,10
Pathology25,15,10
Pathology74,37,10
Pathology11,57,20
Pathology33,72,10
Pathology6,74,20
Pathology39,74,20
Pathology49,74,20
Pathology25,74,20
Pathology5,14,10
Pathology43,66,20
Pathology3,29,10
Pathology84,76,10
Pathology94,100,20
Pathology71,65,20
Pathology21,83,20
Pathology15,81,20
Pathology8,87,20
Pathology96,87,30
Pathology27,91,20
Pathology63,51,10
Pathology71,80,20
Pathology74,94,20
Pathology30,99,30
Pathology49,41,20
Pathology93,76,20
Pathology50,65,20
Pathology44,79,20
Pathology91,2,30
Pathology34,2,10
Pathology74,3,20
Pathology79,5,30
Pathology68,7,30
Pathology15,4,30
Pathology25,5,20
Pathology21,5,10
Pathology46,33,10
Pathology2,5,10
Pathology66,17,20
Pathology20,24,10
Pathology36,37,20
Pathology61,4,30
Pathology79,16,10
Pathology79,11,20
Pathology73,25,30
Pathology22,28,10
Pathology21,33,10
Pathology16,43,10
Pathology87,37,30
Pathology48,18,40
Pathology96,21,20
Pathology42,24,10
Pathology65,25,20
Pathology1,28,20
Pathology69,31,10
Pathology87,31,20
Pathology53,42,20
Pathology3,43,10
Pathology36,43,10
Pathology55,52,20
Pathology32,52,20
Pathology21,67,20
Pathology3,67,20
Pathology62,78,10
Pathology20,92,10
Pathology89,92,10
Pathology80,83,10
Pathology65,73,10
Pathology76,89,20
Pathology30,93,30
Pathology33,80,10
Pathology43,17,10
Pathology30,31,50
Pathology67,17,20
Pathology17,26,20
Pathology94,78,20
Pathology64,57,40
Pathology93,72,10
Pathology21,72,30
Pathology68,74,20
Pathology77,59,20
Pathology45,39,30
Pathology96,38,10
Pathology50,47,40
Pathology68,92,10
Pathology9,13,30
Pathology75,74,30
Pathology4,59,30
Pathology8,39,20
Pathology81,39,40
Pathology16,39,20
Pathology75,40,20
Pathology26,66,10
Pathology83,66,10
Pathology17,68,50
Pathology6,68,20
Pathology80,30,10
Pathology37,45,20
Pathology85,45,10
Pathology9,8,40
Pathology55,41,10
